X, Y
0.772061, 0.632112
0.768044, 0.636950
0.763996, 0.641762
0.759919, 0.646548
0.755811, 0.651309
0.751673, 0.656043
0.747505, 0.660751
0.743307, 0.665433
0.739080, 0.670088
0.734823, 0.674716
0.730538, 0.679317
0.726223, 0.683890
0.721879, 0.688436
0.717507, 0.692955
0.713106, 0.697446
0.708676, 0.701908
0.704219, 0.706343
0.699733, 0.710749
0.695220, 0.715127
0.690679, 0.719475
0.686110, 0.723795
0.681514, 0.728086
0.676891, 0.732348
0.672242, 0.736580
0.667565, 0.740782
0.662862, 0.744955
0.658132, 0.749098
0.653376, 0.753211
0.648594, 0.757293
0.643787, 0.761345
0.638953, 0.765367
0.634094, 0.769357
0.629210, 0.773317
0.624301, 0.777246
0.619367, 0.781143
0.614409, 0.785009
0.609425, 0.788843
0.604418, 0.792646
0.599387, 0.796417
0.594331, 0.800155
0.589252, 0.803862
0.584149, 0.807536
0.579023, 0.811178
0.573874, 0.814787
0.568703, 0.818363
0.563508, 0.821906
0.558291, 0.825416
0.553052, 0.828893
0.547790, 0.832337
0.542507, 0.835747
0.537202, 0.839124
0.531876, 0.842466
0.526528, 0.845775
0.521159, 0.849050
0.515770, 0.852290
0.510360, 0.855496
0.504930, 0.858668
0.499479, 0.861805
0.494009, 0.864908
0.488518, 0.867975
0.483009, 0.871008
0.477479, 0.874006
0.471931, 0.876968
0.466364, 0.879895
0.460779, 0.882787
0.455175, 0.885643
0.449552, 0.888463
0.443912, 0.891248
0.438254, 0.893996
0.432579, 0.896709
0.426886, 0.899385
0.421176, 0.902025
0.415449, 0.904629
0.409706, 0.907197
0.403946, 0.909727
0.398170, 0.912222
0.392378, 0.914679
0.386570, 0.917099
0.380747, 0.919483
0.374909, 0.921829
0.369055, 0.924139
0.363187, 0.926411
0.357305, 0.928645
0.351408, 0.930842
0.345496, 0.933002
0.339571, 0.935124
0.333633, 0.937208
0.327681, 0.939255
0.321716, 0.941263
0.315738, 0.943234
0.309747, 0.945166
0.303744, 0.947061
0.297729, 0.948917
0.291702, 0.950735
0.285663, 0.952515
0.279612, 0.954256
0.273551, 0.955958
0.267478, 0.957622
0.261395, 0.959248
0.255301, 0.960834
0.249197, 0.962382
0.243082, 0.963891
0.236959, 0.965361
0.230825, 0.966792
0.224682, 0.968185
0.218531, 0.969538
0.212370, 0.970851
0.206201, 0.972126
0.200024, 0.973361
0.193838, 0.974558
0.187645, 0.975714
0.181444, 0.976832
0.175236, 0.977910
0.169021, 0.978948
0.162799, 0.979947
0.156571, 0.980906
0.150336, 0.981826
0.144095, 0.982706
0.137848, 0.983546
0.131596, 0.984346
0.125339, 0.985107
0.119076, 0.985828
0.112809, 0.986509
0.106537, 0.987150
0.100261, 0.987752
0.093980, 0.988313
0.087696, 0.988835
0.081409, 0.989316
0.075118, 0.989758
0.068824, 0.990159
0.062527, 0.990521
0.056228, 0.990842
0.049926, 0.991124
0.043623, 0.991365
0.037318, 0.991566
0.031011, 0.991727
0.024703, 0.991848
0.018394, 0.991929
0.012084, 0.991970
0.005774, 0.991971
-0.000537, 0.991931
-0.006847, 0.991852
-0.013157, 0.991732
-0.019467, 0.991572
-0.025776, 0.991372
-0.032084, 0.991132
-0.038390, 0.990852
-0.044695, 0.990532
-0.050998, 0.990172
-0.057299, 0.989771
-0.063598, 0.989331
-0.069894, 0.988851
-0.076188, 0.988330
-0.082478, 0.987770
-0.088765, 0.987169
-0.095048, 0.986529
-0.101328, 0.985849
-0.107603, 0.985128
-0.113874, 0.984368
-0.120141, 0.983568
-0.126402, 0.982729
-0.132658, 0.981849
-0.138909, 0.980930
-0.145155, 0.979971
-0.151394, 0.978972
-0.157628, 0.977934
-0.163855, 0.976856
